frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
32,405.5478,467.33887,344.41052,546.5468,256.4574,655.0521,115.80463,725.12415,1.1479797,645.2991,57.266724,515.3184,171.8981,593.3115,159.87207,400.3026,257.08374,667.75684,618.6425,614.4974,670.4426,660.12714,967.5007,900.96545,1195.5217,1037.1965,1174.5657,1072.3176,1255.9846,1232.8442,1103.9658,1086.3293,1182.7855,1215.6178,0.99541664,0.9933887,0.9962112,0.80213106,0.92308545,0.89198744,0.89912236,0.055924058,0.10925689,0.039782703,0.07718089,0.009687334,0.013083935,0.0010714233,0.001488328,0.0005416572,0.0006736219
33,404.0865,466.42023,342.66687,546.35364,253.20996,659.23804,97.86594,728.8672,-14.692169,635.1521,84.37384,515.3128,160.3829,593.54626,150.4815,384.60876,266.2469,669.81445,618.3905,613.6991,669.1515,658.1566,970.94366,916.15094,1198.9983,1075.0112,1187.1777,1118.1975,1249.5764,1232.0479,1102.425,1089.5864,1193.4435,1227.1526,0.99463797,0.9933835,0.9958366,0.8237634,0.92069966,0.8778508,0.8779428,0.03868383,0.066292465,0.026612818,0.044333458,0.007258296,0.009286791,0.0011243522,0.0014795959,0.0006915927,0.0008301735
34,401.7787,465.20795,338.65417,546.7509,254.79028,668.2128,104.38971,727.1919,-3.6706543,634.3823,69.12302,511.90906,154.02454,592.5625,169.711,327.42218,269.5597,672.7438,613.7728,612.25574,665.084,659.31934,972.8458,908.11835,1250.5505,1108.3785,1209.9067,1233.1593,1274.434,1251.8866,1163.3538,1140.5104,1241.1566,1283.9205,0.99437475,0.9939507,0.9947982,0.8701911,0.898301,0.8944644,0.9048418,0.035941243,0.06754333,0.017794698,0.027711123,0.006328404,0.008394152,0.000649035,0.0009330809,0.00034296513,0.00045752525
35,401.44263,464.51154,337.48743,546.5173,252.70544,668.2483,105.558105,728.2307,-3.360138,637.8769,57.452698,514.07056,158.18741,595.23517,176.54471,333.71283,284.2893,671.6952,613.008,612.2638,663.53125,659.54126,975.57935,906.4734,1249.9994,1087.3958,1215.0752,1189.3726,1277.724,1254.0675,1158.8928,1138.9801,1238.6531,1285.4615,0.99445987,0.9943819,0.994805,0.87,0.8931277,0.88385785,0.8773465,0.031114638,0.04845625,0.015577823,0.022937328,0.0054629445,0.0068099797,0.0006738007,0.00091055036,0.00039175153,0.0004964471
36,400.62274,464.2082,336.8874,545.9906,247.42865,656.8574,110.2038,726.95325,-0.46713257,634.44763,62.05951,514.2284,167.0187,584.06213,144.55215,386.30408,250.08722,670.13055,614.705,611.86383,662.8734,655.60657,970.9044,907.4547,1202.5767,1045.79,1192.1311,1086.8525,1252.9756,1229.8367,1108.2114,1090.5447,1208.6954,1241.3528,0.99516505,0.9937632,0.9962052,0.80914676,0.91288257,0.85551274,0.86984515,0.03579262,0.07883471,0.02864477,0.059120268,0.0067333877,0.009605795,0.0010330379,0.0015030503,0.0005941093,0.000764519
37,399.65894,464.02496,335.50378,547.5979,245.64893,664.8658,98.37283,732.1687,-7.5700073,625.41327,60.00589,513.43726,154.28607,589.56274,135.21869,374.4626,250.95532,669.3903,612.7812,610.6345,662.75195,656.9819,976.8687,919.2928,1210.7051,1066.1125,1200.4691,1113.8904,1251.807,1231.5376,1111.0234,1098.7207,1210.2942,1251.2891,0.99460876,0.99364394,0.99604166,0.8241775,0.91315126,0.8361365,0.85722315,0.025365204,0.057641506,0.019305617,0.039283514,0.0052531064,0.007621795,0.0009133518,0.001349926,0.0005925,0.00077068806
38,400.00012,464.67877,334.3523,549.7626,244.13892,666.0835,99.20035,733.3182,-5.6228333,626.99615,73.53906,515.56714,155.67325,592.4121,138.29172,377.7119,249.51959,669.03375,610.39264,609.7699,659.96045,657.4884,973.6108,920.4867,1204.5244,1067.297,1188.1296,1113.3574,1245.9579,1228.1074,1110.1548,1101.6342,1207.8407,1252.3595,0.99459517,0.9936805,0.9960622,0.82075155,0.9099895,0.8202226,0.8520911,0.023292929,0.057777017,0.019474745,0.04133454,0.005115539,0.007653266,0.00089553,0.0013719201,0.0005734563,0.00076550245
39,399.95782,464.8546,334.39246,550.3695,244.12213,667.0558,92.8533,734.7884,-11.36908,633.1422,79.59659,516.34595,151.9877,596.86035,137.2359,376.63397,251.91406,668.4785,608.9452,608.45215,658.4089,656.2011,972.65234,927.4404,1206.9562,1087.7543,1191.7614,1112.6714,1248.7091,1234.767,1115.8745,1112.2777,1208.9056,1253.8328,0.9944879,0.9936446,0.99604917,0.8233695,0.91139054,0.82045674,0.8542211,0.02175033,0.052997947,0.01791969,0.03815323,0.00487262,0.007210672,0.0008504391,0.0013008714,0.00054961443,0.0007326901
40,399.909,465.7793,333.26147,552.1935,241.52167,670.38904,93.99484,736.25226,-7.8233643,629.64325,73.55853,520.4977,154.63873,600.2212,134.16223,380.39478,254.23334,668.6018,607.036,606.26135,654.5903,651.83276,976.4396,926.2632,1213.7318,1080.8448,1198.3708,1099.7712,1251.282,1234.2623,1120.7957,1112.3091,1215.3567,1256.023,0.99447,0.99365735,0.9961593,0.8187078,0.9101151,0.8027977,0.84708786,0.018994927,0.05242154,0.016841024,0.04027933,0.004424393,0.006895691,0.0008226931,0.0013257563,0.0005415082,0.00075024366
41,401.6739,467.2329,333.82172,552.40466,240.58392,673.35815,94.93866,741.58057,-3.6096802,631.5104,74.68414,522.0991,155.23843,599.8988,133.9953,381.26288,258.39587,666.82294,604.6435,603.7343,653.3348,651.0143,978.16223,925.7215,1211.4718,1073.4618,1198.7544,1098.9471,1247.4674,1228.8663,1119.7104,1108.5005,1218.9866,1256.5303,0.99454534,0.99358284,0.9963554,0.80428016,0.9166318,0.7941029,0.83526015,0.017749459,0.048855484,0.016172856,0.038795143,0.0040789247,0.006319344,0.00079220533,0.0012665689,0.0005258024,0.0007210076
